,base_origen,completitud_row,completitud_row,exactitud_row,exactitud_row,criterio_minimo
,,registros_completos_por_filas,completitud_por_filas,registros_exactos_por_filas,exactitud_por_filas,
0,CRMSL,259,12.69,208,80.30,10.19
1,GOET,646,0.18,485,75.07,0.13
2,MOODLE,2354,2.50,585,24.85,0.62
3,SIENFO,0,0.00,0,0.00,0.00
4,SIU,0,0.00,0,0.00,0.00
