,base_origen,completitud_row,completitud_row,exactitud_row,exactitud_row,criterio_minimo
,,registros_completos_por_filas,completitud_por_filas,registros_exactos_por_filas,exactitud_por_filas,
0,CRMSL,5,8.77,0,0.00,0.00
1,GOET,1,0.21,0,0.00,0.00
2,MOODLE,1,5.88,0,0.00,0.00
3,SIENFO,0,0.00,0,0.00,0.00
4,SIU,0,0.00,0,0.00,0.00
