,base_origen,completitud_row,completitud_row,exactitud_row,exactitud_row,criterio_minimo
,,registros_completos_por_filas,completitud_por_filas,registros_exactos_por_filas,exactitud_por_filas,
0,CRMSL,258,12.85,197,76.35,9.81
1,GOET,179,0.05,128,71.50,0.03
2,MOODLE,0,0.00,0,0.00,0.00
3,SIENFO,0,0.00,0,0.00,0.00
4,SIU,0,0.00,0,0.00,0.00
