,base_origen,completitud_row,completitud_row,exactitud_row,exactitud_row,criterio_minimo
,,registros_completos_por_filas,completitud_por_filas,registros_exactos_por_filas,exactitud_por_filas,
0,CRMEMPLEO,0,0.00,0,0.00,0.00
1,CRMSL,733,0.91,0,0.00,0.00
2,GOET,51862,27.09,0,0.00,0.00
3,MOODLE,0,0.00,0,0.00,0.00
4,PORTALEMPLEO,0,0.00,0,0.00,0.00
5,SIENFO,47937,30.29,0,0.00,0.00
6,SIU,2052,6.53,0,0.00,0.00
